Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Himanshu Nirvan,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (4 years as specialist),Psychiatrist,"Greater Kailash Part 1, Delhi",100%,(55 votes),₹1400
Dr. Khushboo Kansal,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (6 years as specialist),Psychiatrist,"Paschim Vihar, Delhi",100%,(16 votes),₹1000
Dr. Sameer Malhotra,"MBBS, M.D. (Psychiatry)",19 Years Experience Overall  (15 years as specialist),Psychiatrist,"Panchsheel Park, Delhi",73%,(30 votes),₹2400
Dr. Raj Kumar Srivastava,"DNB - Psychiatry, MBBS",27 Years Experience Overall  (20 years as specialist),Psychiatrist,"Patparganj, Delhi",97%,(31 votes),₹1500
Dr. Madhusudan Singh Solanki,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (13 years as specialist),Psychiatrist,"Saket, Delhi",95%,(39 votes),₹1500
Dr. Lav Kaushik,"M.D. (Psychiatry), MBBS",15 Years Experience Overall  (11 years as specialist),Psychiatrist,"Malviya Nagar, Delhi",97%,(150 votes),₹800
Dr. Ananya Choudhury,"MBBS, DPM (Psychiatry), DNB - Psychiatry",18 Years Experience Overall  (13 years as specialist),Psychiatrist,"Okhla, Delhi",95%,(160 votes),₹1500
Dr. Rajesh Mehta,"MBBS, M.D. (Psychiatry)",44 Years Experience Overall  (33 years as specialist),Psychiatrist,"Rajouri Garden, Delhi",0,0,₹1200
Dr. Vishal Chhabra,"MBBS, DPM (Psychiatry), DNB - Psychiatry",22 Years Experience Overall  (20 years as specialist),Psychiatrist,"Okhla, Delhi",93%,(14 votes),₹1500
Dr. Danish Hussain,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (5 years as specialist),Psychiatrist,"Chattarpur, Delhi",0,0,₹2500
Dr. Ashitabh Tiwari,"M.D. (Psychiatry), MBBS",17 Years Experience Overall  (5 years as specialist),Psychiatrist,"Pusa Road, Delhi",0,0,₹1200
Dr. Anant Agarwal,"MBBS, DNB - Psychiatry",9 Years Experience Overall  (4 years as specialist),Psychiatrist,"Old Rajendra Nagar, Delhi",0,0,₹1500
Dr. Somnath Sengupta,"MD - Psychological Medicine, MBBS",32 Years Experience Overall,Psychiatrist,"Greater Kailash Part 2, Delhi",0,0,₹2000
Dr. Sandeep Govil,"MBBS, DNB - Psychiatry",22 Years Experience Overall  (15 years as specialist),Psychiatrist,"Greater Kailash Part 2, Delhi",84%,(50 votes),₹1200
Dr. Rahul Chandhok,"MBBS, M.D. (Psychiatry)",24 Years Experience Overall  (20 years as specialist),Psychiatrist,"Okhla, Delhi",74%,(35 votes),₹1500
Dr. Shraddha Chaudhary,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (5 years as specialist),Psychiatrist,"Vasant Kunj, Delhi",95%,(64 votes),₹1200
Dr. Shiraz,"MBBS, DPM (Psychiatry)",16 Years Experience Overall  (4 years as specialist),Psychiatrist,"Okhla Industrial Estate, Delhi",95%,(44 votes),₹1500
Dr. Prashant Mishra,"DPM (Psychiatry), MBBS",11 Years Experience Overall  (6 years as specialist),Psychiatrist,"Naraina, Delhi",100%,(21 votes),₹1500
Dr. Sonal Vermani,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (6 years as specialist),Psychiatrist,"Preet Vihar, Delhi",0,0,₹700
Dr. Vasantha Jayaram,"MBBS, DPM (Psychiatry), DNB - Psychiatry",40 Years Experience Overall  (35 years as specialist),Psychiatrist,"Thiruvanmiyur, Chennai",89%,(123 votes),₹1000
Dr. Esther Suresh,"MBBS, DPM (Psychiatry)",27 Years Experience Overall  (21 years as specialist),Psychiatrist,"Anna Nagar, Chennai",98%,(675 votes),₹1000
Dr. Janaki Rajagopalan,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",17 Years Experience Overall  (14 years as specialist),Psychiatrist,"Gandhi Nagar, Chennai",100%,(142 votes),₹2500
Dr. Poongodi Bala,"MBBS, MRCPsych, CCT- Child and Adolescent Psychiatry",20 Years Experience Overall  (9 years as specialist),Psychiatrist,"KK Nagar, Chennai",97%,(38 votes),₹1500
Dr. Mythili,"MBBS, MRCPsych",21 Years Experience Overall  (16 years as specialist),Psychiatrist,"Pallavaram, Chennai",98%,(100 votes),₹2000
Dr. Deepa Gopinath,"M.D. (Psychiatry), MBBS",10 Years Experience Overall  (5 years as specialist),Psychiatrist,"Madipakkam, Chennai",98%,(42 votes),₹1000
Dr. Hema Tharoor,"MBBS, DNB - Psychiatry, DPM (Psychiatry)",28 Years Experience Overall  (22 years as specialist),Psychiatrist,"Alwarpet, Chennai",78%,(23 votes),₹800
Dr. Bharathi Visveswaran,"MBBS, Diploma in Public Health, M.D. (Psychiatry)",36 Years Experience Overall  (30 years as specialist),Psychiatrist,"Greams Road, Chennai",0,0,₹1000
Dr. T V Ashokan,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",41 Years Experience Overall  (35 years as specialist),Psychiatrist,"Tondiarpet, Chennai",0,0,₹400
Dr. Karthik.M.S,"MBBS, M.D. (Psychiatry)",18 Years Experience Overall  (13 years as specialist),Psychiatrist,"Aminjikarai, Chennai",95%,(40 votes),₹1500
Dr. Saritha,"MBBS, DPM (Psychiatry)",17 Years Experience Overall  (11 years as specialist),Psychiatrist,"Anna Nagar East, Chennai",97%,(30 votes),₹1000
Dr. Sivabalan Elangovan,"MBBS, M.D. (Psychiatry)",17 Years Experience Overall  (11 years as specialist),Psychiatrist,"Anna Nagar East, Chennai",98%,(43 votes),₹1000
Dr. Siddhika Ayyer,"DNB - Psychiatry, DPM (Psychiatry), MBBS",14 Years Experience Overall  (7 years as specialist),Psychiatrist,"Perumbakkam, Chennai",0,0,₹800
Dr. S.Arunkumar,"MBBS, M.D. (Psychiatry), DPM (Psychiatry)",13 Years Experience Overall,Psychiatrist,"Mogappair West, Chennai",98%,(1075 votes),₹3000
Dr. V Jaikumar,"MBBS, M.D. (Psychiatry)",23 Years Experience Overall  (16 years as specialist),Psychiatrist,"Velachery, Chennai",88%,(33 votes),₹500
Dr. Vinayak V,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",16 Years Experience Overall  (14 years as specialist),Psychiatrist,"Santhome, Chennai",98%,(111 votes),₹750
Dr. Ennapadam S. Krishnamoorthy,"MBBS, M.D. (Psychiatry)",31 Years Experience Overall  (27 years as specialist),Psychiatrist,"Teynampet, Chennai",90%,(29 votes),₹1500
Dr. Sree Prathap,"MBBS, MRCPsych",22 Years Experience Overall  (17 years as specialist),Psychiatrist,"Pallavaram, Chennai",98%,(179 votes),₹2000
Dr. Vijayakumar S,"MBBS, DPM (Psychiatry)",50 Years Experience Overall  (47 years as specialist),Psychiatrist,"Santhome, Chennai",0,0,₹700
Dr. Arun Narayan Pradeep,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (7 years as specialist),Psychiatrist,"Perambur, Chennai",97%,(31 votes),₹1000
Dr. Lakshmi Prabha,M.D. (Psychiatry),7 Years Experience Overall,Psychiatrist,"Porur, Chennai",100%,(24 votes),₹1000
Dr. Sitharam K,"MRCP (UK), MBBS",26 Years Experience Overall  (16 years as specialist),Psychiatrist,"Velachery, Chennai",58%,(19 votes),₹700
Dr. Vidhya Jothi.N,"MBBS, M.D. (Psychiatry)",6 Years Experience Overall  (2 years as specialist),Psychiatrist,"Tambaram, Chennai",0,0,₹1500
Dr. D.Sai Baalasubramanian,"M.D. (Psychiatry), MBBS",19 Years Experience Overall  (9 years as specialist),Psychiatrist,"Chitlapakkam, Chennai",100%,(25 votes),₹1000
Dr. S. Gopinath,"M.D. (Psychiatry), MBBS",10 Years Experience Overall  (4 years as specialist),Psychiatrist,"Madipakkam, Chennai",100%,(49 votes),₹1000
Dr. Vasanth,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (8 years as specialist),Psychiatrist,"OMR Road, Chennai",89%,(18 votes),₹700
Dr. Muthu krishnan,"MBBS, M.D. (Psychiatry)",45 Years Experience Overall  (30 years as specialist),Psychiatrist,"Greams Road, Chennai",0,0,₹1500
Dr. Susila Sharmili Kumaravel,"MBBS, M.D. (Psychiatry)",6 Years Experience Overall  (1 year as specialist),Psychiatrist,"Perumbakkam, Chennai",0,0,₹750
Dr. Seshadri Harihar,"MBBS, MRCPsych",46 Years Experience Overall  (34 years as specialist),Psychiatrist,"Greams Road, Chennai",0,0,₹1000
Dr. Bevin S,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (6 years as specialist),Psychiatrist,"Valasaravakkam, Chennai",100%,(19 votes),₹1000
Dr. Vivek Arun Kumar J K,"M.D. (Psychiatry), MBBS",11 Years Experience Overall  (5 years as specialist),Psychiatrist,"Tambaram West, Chennai",0,0,₹1500
Dr. Raman K,"M.D. (Psychiatry), MBBS",16 Years Experience Overall,Psychiatrist,"Vanagaram, Chennai",0,0,₹800
Dr. Mithun Prasad.V,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (3 years as specialist),Psychiatrist,"Vadapalani, Chennai",100%,(11 votes),₹800
Dr. Soumya,"M.D. (Psychiatry), MBBS",5 Years Experience Overall  (2 years as specialist),Psychiatrist,"Pallavaram, Chennai",0,0,₹750
Dr. Suresh Kumar G D,"MBBS, Diploma in Child Health (DCH), Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh), MRCP (UK), CCT- Child and Adolescent Psychiatry",24 Years Experience Overall  (8 years as specialist),Psychiatrist,"Thousand Lights, Chennai",0,0,₹1000
Dr. Venkateswaran,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Thousand Lights, Chennai",0,0,₹1000
Dr. Ketan Parmar,"MBBS, DPM (Psychiatry), MD - Psychological Medicine",34 Years Experience Overall  (32 years as specialist),Psychiatrist,"Borivali East, Mumbai",0,0,₹1200
Dr. Naazneen Ladak,"MBBS, DPM (Psychiatry)",16 Years Experience Overall  (15 years as specialist),Psychiatrist,"Andheri West, Mumbai",91%,(176 votes),₹2000
Dr. Payal Sharma Kamath,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (6 years as specialist),Psychiatrist,"Borivali East, Mumbai",96%,(193 votes),₹1500
Dr. Darpan Kaur,"MBBS, DNB - Psychiatry",17 Years Experience Overall  (12 years as specialist),Psychiatrist,"Sion East, Mumbai",99%,(77 votes),₹1500
Dr. Chetan Lokhande,"MBBS, M.D. (Psychiatry)",12 Years Experience Overall  (8 years as specialist),Psychiatrist,"Kurla East, Mumbai",100%,(22 votes),₹1300
Dr. Sneha Naik Samant,"DPM (Psychiatry), MBBS",12 Years Experience Overall  (5 years as specialist),Psychiatrist,"Borivali, Mumbai",99%,(68 votes),₹1200
Dr. Nikhil Gurjar,"MBBS, M.D. (Psychiatry)",4 Years Experience Overall  (1 year as specialist),Psychiatrist,"Mahim, Mumbai",0,0,₹1300
Dr. Rohann Bokdawala,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (8 years as specialist),Psychiatrist,"Marine Lines, Mumbai",97%,(375 votes),₹2500
Dr. Smit JP,"MBBS, M.D. (Psychiatry)",2 Years Experience Overall  (1 year as specialist),Psychiatrist,"Borivali East, Mumbai",0,0,₹1200
Dr. Shyam Mithiya,"MBBS, DPM (Psychiatry)",15 Years Experience Overall  (11 years as specialist),Psychiatrist,"Ghatkopar West, Mumbai",96%,(1380 votes),₹1750
Dr. Ankita Mishra,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (11 years as specialist),Psychiatrist,"Dadar, Mumbai",97%,(37 votes),₹3000
Dr. Parul Tank,"MBBS, MD - Psychological Medicine",26 Years Experience Overall  (21 years as specialist),Psychiatrist,"Mulund West, Mumbai",95%,(85 votes),₹2000
Dr. Anjali  Karira,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (10 years as specialist),Psychiatrist,"Bandra West, Mumbai",99%,(86 votes),₹2000
Dr. Santosh Bangar,"MBBS, M.D. (Psychiatry), Diploma in Psychiatry, MRCPsych, Diploma in Clinical Psychiatry, Diploma in Clinical Psychiatry",23 Years Experience Overall  (16 years as specialist),Psychiatrist,"Parel, Mumbai",100%,(113 votes),₹3100
Dr. Jalpa Bhuta,"MBBS, MD - Psychological Medicine, DNB - Psychiatry, MRCPsych",23 Years Experience Overall  (22 years as specialist),Psychiatrist,"Parel, Mumbai",87%,(15 votes),₹1850
Dr. Paresh C. Trivedi,"MBBS, DPM (Psychiatry)",30 Years Experience Overall  (26 years as specialist),Psychiatrist,"Andheri West, Mumbai",96%,(902 votes),₹1500
Dr. Kedar Tilwe,"DNB - Psychiatry, DPM (Psychiatry), MBBS",15 Years Experience Overall  (11 years as specialist),Psychiatrist,"Mulund West, Mumbai",92%,(24 votes),₹1500
Dr. Adita Agrawal,"MBBS, DNB - Psychiatry",13 Years Experience Overall  (10 years as specialist),Psychiatrist,"Jogeshwari West, Mumbai",83%,(23 votes),₹1500
Dr. Rajiv Anand,"MBBS, M.D. (Psychiatry)",46 Years Experience Overall  (40 years as specialist),Psychiatrist,"Andheri West, Mumbai",93%,(257 votes),₹2000
Dr. Nikunj Gokani,"M.D. (Psychiatry), MBBS",4 Years Experience Overall  (1 year as specialist),Psychiatrist,"Chembur East, Mumbai",100%,(26 votes),₹1500
Dr. Sagar Mundada,"M.D. (Psychiatry), MBBS",11 Years Experience Overall  (6 years as specialist),Psychiatrist,"Powai, Mumbai",98%,(282 votes),₹2000
Dr. Priyadarshani Jain,"M.D. (Psychiatry), MBBS, DPM (Psychiatry)",17 Years Experience Overall  (10 years as specialist),Psychiatrist,"Andheri East, Mumbai",100%,(165 votes),₹3000
Dr. Anita Sukhwani,"MBBS, DPM (Psychiatry)",31 Years Experience Overall  (26 years as specialist),Psychiatrist,"Mahalaxmi, Mumbai",94%,(193 votes),₹3000
Dr. Austin Fernandes,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall,Psychiatrist,"Powai, Mumbai",0,0,₹1600
Dr. Anshu Kulkarni,"MD - Psychological Medicine, MBBS",24 Years Experience Overall  (21 years as specialist),Psychiatrist,"Mahim, Mumbai",90%,(252 votes),₹2500
Dr. Aditya Nair,"MBBS, DPM (Psychiatry)",19 Years Experience Overall  (15 years as specialist),Psychiatrist,"Chembur East, Mumbai",93%,(27 votes),₹1000
Dr. Parijat Roy,"M.D. (Psychiatry), MBBS",8 Years Experience Overall  (1 year as specialist),Psychiatrist,"Dadar West, Mumbai",0,0,₹1200
Dr. Jyoti Maheshwari,"MBBS, DPM (Psychiatry)",31 Years Experience Overall  (27 years as specialist),Psychiatrist,"Andheri West, Mumbai",92%,(13 votes),₹2500
Dr. Sumedha Tiwari,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (5 years as specialist),Psychiatrist,"Jogeshwari West, Mumbai",95%,(20 votes),₹1500
Dr. Smruti Karambelkar,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (7 years as specialist),Psychiatrist,"Andheri West, Mumbai",0,0,₹1500
Dr. Chinmay Kulkarni,"DPM (Psychiatry), MBBS",13 Years Experience Overall  (6 years as specialist),Psychiatrist,"Powai, Mumbai",99%,(164 votes),₹1300
Dr. Parth Nagda,"MBBS, M.D. (Psychiatry)",4 Years Experience Overall  (3 years as specialist),Psychiatrist,"Matunga East, Mumbai",100%,(13 votes),₹1200
Dr. Akanksha Rathi Maheshwari,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (5 years as specialist),Psychiatrist,"Andheri West, Mumbai",0,0,₹2000
Dr. Prakhar Jain,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (3 years as specialist),Psychiatrist,"Marine Lines, Mumbai",0,0,₹1500
Dr. Ruhi Satija,"MBBS, DPM (Psychiatry)",8 Years Experience Overall  (4 years as specialist),Psychiatrist,"Dadar, Mumbai",0,0,₹1500
Dr. Siva Anoop Yella,"MBBS, M.D. (Psychiatry)",5 Years Experience Overall  (2 years as specialist),Psychiatrist,"Ameerpet, Hyderabad",0,0,₹1000
Dr. Vikram A,"DPM (Psychiatry), MBBS",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Chanda Nagar, Hyderabad",96%,(51 votes),₹1000
Dr. D Suresh,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (6 years as specialist),Psychiatrist,"Himayat Nagar, Hyderabad",0,0,₹1000
Dr. Farheen Sultana,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (5 years as specialist),Psychiatrist,"Gachibowli, Hyderabad",100%,(13 votes),₹1500
Dr. Asfiya Kulsum,"MBBS, M.D. (Psychiatry)",6 Years Experience Overall  (3 years as specialist),Psychiatrist,"Langar Houz, Hyderabad",91%,(23 votes),₹600
Dr. Gautami Nagabhirava,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (4 years as specialist),Psychiatrist,"Nizampet, Hyderabad",0,0,₹600
Dr. Sunil Kumar A,"MBBS, M.D. (Psychiatry)",18 Years Experience Overall  (2 years as specialist),Psychiatrist,"Madhapur, Hyderabad",0,0,₹1250
Dr. Muchipalli Sai Prashanthi,"M.D. (Psychiatry), MBBS",7 Years Experience Overall  (3 years as specialist),Psychiatrist,"Suchitra Circle, Hyderabad",0,0,₹1000
Dr. Srinivas K,"MBBS, M.D. (Psychiatry), Master of Public Health (MPH)",10 Years Experience Overall  (9 years as specialist),Psychiatrist,"Kukatpally, Hyderabad",98%,(123 votes),₹1000
Dr. Bandari Srikanth,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (5 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",97%,(72 votes),₹1000
Dr. Anitha,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall,Psychiatrist,"Kukatpally, Hyderabad",0,0,₹1100
Dr. Sai Naveen Singagari,"M.D. (Psychiatry), MBBS",5 Years Experience Overall  (2 years as specialist),Psychiatrist,"Manikonda, Hyderabad",0,0,₹800
Dr. Jagadeesh Babu,"BHMS, M.D. Hom. (Psychiatry), MSc - Psychology",17 Years Experience Overall  (9 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",83%,(88 votes),₹500
Dr. Rajesh,"MBBS, M.D. (Psychiatry)",26 Years Experience Overall  (21 years as specialist),Psychiatrist,"Ameerpet, Hyderabad",98%,(113 votes),₹500
Dr. Praveen Kumar Chintapanti,"MBBS, DPM (Psychiatry)",26 Years Experience Overall,Psychiatrist,"Jubilee Hills, Hyderabad",90%,(39 votes),₹2000
Dr. Aparna B,"MBBS, DNB - Psychiatry",12 Years Experience Overall  (5 years as specialist),Psychiatrist,"Alwal, Hyderabad",98%,(120 votes),₹600
Dr. Harish Chandra Reddy,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (10 years as specialist),Psychiatrist,"KPHB, Hyderabad",98%,(182 votes),₹1000
Dr. K.Nihal Balaji,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (7 years as specialist),Psychiatrist,"Nallakunta, Hyderabad",0,0,₹1000
Dr. Aana Shaunak Shah,"MBBS, M.D. (Psychiatry)",5 Years Experience Overall  (1 year as specialist),Psychiatrist,"Banjara Hills, Hyderabad",0,0,₹900
Dr. B Kranthi Kiran,"MBBS, M.D. (Psychiatry)",33 Years Experience Overall  (22 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",95%,(55 votes),₹3000
Dr. Keshav Rao Devulapally,"MBBS, M.D. (Psychiatry)",30 Years Experience Overall  (29 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",96%,(76 votes),₹1500
Dr. Kartik Valipay,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (3 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",0,0,₹800
Dr. Krishnasahithi,"MBBS, M.D. (Psychiatry)",12 Years Experience Overall  (6 years as specialist),Psychiatrist,"Jubilee Hills, Hyderabad",79%,(14 votes),₹800
Dr. Nithin Kondapuram,"Diploma in Psychiatry, MBBS",11 Years Experience Overall  (7 years as specialist),Psychiatrist,"Ameerpet, Hyderabad",0,0,₹1000
Dr. Prabhakar Korada,"DNB - Psychiatry, MBBS",47 Years Experience Overall  (26 years as specialist),Psychiatrist,"Secunderabad, Hyderabad",0,0,₹1500
Dr. Lokesh Kumar Kalasapati,"M.D. (Psychiatry), MBBS",12 Years Experience Overall  (9 years as specialist),Psychiatrist,"Kukatpally, Hyderabad",100%,(40 votes),₹600
Dr. Neilofor Hussain,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (5 years as specialist),Psychiatrist,"Malakpet, Hyderabad",100%,(16 votes),₹1200
Dr. Ashok K. Alimchandani,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",33 Years Experience Overall,Psychiatrist,"Secunderabad, Hyderabad",53%,(19 votes),₹1000
Dr. Nandini Bandikatla,"MBBS, MRCP (UK)",22 Years Experience Overall  (5 years as specialist),Psychiatrist,"Jubilee Hills, Hyderabad",0,0,₹2000
Dr. Nishanth Vemana,"M.D. (Psychiatry), MBBS",12 Years Experience Overall  (8 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",97%,(90 votes),₹1000
Dr. Virinchi Sharma,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (7 years as specialist),Psychiatrist,"Padmarao Nagar, Hyderabad",99%,(356 votes),₹1500
Dr. Shanti Mohan,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (4 years as specialist),Psychiatrist,"Jeedimetla, Hyderabad",0,0,₹1000
Dr. Navitha Reddy,"MBBS, M.D. (Psychiatry)",12 Years Experience Overall  (6 years as specialist),Psychiatrist,"Jubilee Hills, Hyderabad",95%,(57 votes),₹800
Dr. Divya Devulapally,"MBBS, Diploma in Psychiatry, MRCPsych",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Banjara Hills, Hyderabad",0,0,₹1200
